header,cluster_trace,postal_code,ageb,estado,municipio,colonia,metodo,lat,lon
CEC-21-4753|MEX|ST_2|Cluster_NA|2021/09/02,,.,150330001181A,Mexico,Ecatepec de Morelos,Jardines de Morelos 5a Seccion,Distribucion_Colonia,19.6079768,-98.9924088
CEC-21-3430|MEX|ST_2|Cluster_NA|2021/04/26,,.,1505800010473,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-19-0927|MEX|ST_2|Cluster_NA|2019/11/27,,.,1503300014922,Mexico,Ecatepec de Morelos,.,Distribucion_Municipio,,
CEC-21-4630|MEX|ST_2|Cluster_NA|2021/08/20,,.,1505800010581,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-20-1254|MEX|ST_2|Cluster_NA|2020/08/24,,.,1505800011984,Mexico,Nezahualcoyotl,Juarez Pantitlan,Distribucion_Colonia,19.4118165,-99.0559478
CEC-19-0297|MEX|ST_2|Cluster_NA|2019/09/13,,.,1502401010066,Mexico,Chimalhuacan,.,Distribucion_Municipio,,
CEC-21-4860|MEX|ST_2|Cluster_NA|2021/09/15,,.,1505800010308,Mexico,Nezahualcoyotl,Ampliacion General Jose Vicente Villada Poniente,Distribucion_Municipio,,
CEC-20-1437|MEX|ST_2|Cluster_NA|2020/09/14,,54695,1503500030572,Mexico,Huehuetoca,Santa Teresa 3 y 3 Bis,Distribucion_Municipio,,
CEC-22-9314|MEX|ST_2|Cluster_NA|2022/10/17,,.,1503300010262,Mexico,Ecatepec de Morelos,San Andres de la Canada,Distribucion_Colonia,19.5707904,-99.0929329
CEC-21-4298|MEX|ST_2|Cluster_NA|2021/07/13,,.,150330001007A,Mexico,Ecatepec de Morelos,Tulpetlac,Distribucion_Colonia,19.5733951,-99.0502787
CEC-21-4350|MEX|ST_2|Cluster_78|2021/07/19,,.,1509900141597,Mexico,Tecamac,.,Distribucion_Municipio,,
CEC-22-8289|MEX|ST_2|Cluster_NA|2022/07/13,,.,1512200010512,Mexico,Valle de Chalco Solidaridad,.,Distribucion_Municipio,,
CEC-19-0612|MEX|ST_2|Cluster_NA|2019/10/18,,.,1505800010539,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-19-0009|MEX|ST_2|Cluster_NA|2019/07/17,,.,150600001058A,Mexico,Nicolas Romero,.,Distribucion_Municipio,,
CEC-22-9532|MEX|ST_2|Cluster_NA|2022/11/08,,.,1503700240469,Mexico,Ixtapaluca,Geovillas Ixtapaluca 2000,Distribucion_Colonia,19.3211812,-98.9377658
CEC-20-1367|MEX|ST_2|Cluster_NA|2020/09/07,,.,1512100012244,Mexico,Cuautitlan Izcalli,El Cerrito,Distribucion_Colonia,19.6700636,-99.1968835
CEC-21-5103|MEX|ST_2|Cluster_NA|2021/10/04,,.,1501300011624,Mexico,Atizapan de Zaragoza,.,Distribucion_Municipio,,
CEC-20-1182|MEX|ST_2|Cluster_NA|2020/08/17,,.,1503700710365,Mexico,Ixtapaluca,.,Distribucion_Municipio,,
CEC-21-4027|MEX|ST_2|Cluster_NA|2021/06/17,,.,150990008153A,Mexico,Tecamac,Villa del Real,Distribucion_Colonia,19.6848884,-98.9779634
CEC-22-9512|MEX|ST_2|Cluster_NA|2022/11/07,,.,151040001132A,Mexico,Tlalnepantla de Baz,.,Distribucion_Municipio,,
CEC-19-0333|MEX|ST_2|Cluster_NA|2019/09/19,,.,1505800010740,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-22-9122|MEX|ST_2|Cluster_NA|2022/09/26,,.,1500100010339,Mexico,Zumpango,.,Fallback_Estado,,
CEC-22-9411|MEX|ST_2|Cluster_121|2022/10/26,121.0,56095,15102005A,Mexico,Tepetlaoxtoc,Santiago,Distribucion_Colonia,19.5604224,-98.8441765
CEC-22-7841|MEX|ST_2|Cluster_NA|2022/06/06,,.,150990016114A,Mexico,Tecamac,Los Heroes Tecamac,Distribucion_Colonia,19.630693,-99.0395327
CEC-19-0001|MEX|ST_1|Cluster_NA|2019/07/17,,.,0900200010947,Ciudad de Mexico,Alvaro Obregon,.,Distribucion_Municipio,,
CEC-22-8385|MEX|ST_1|Cluster_NA|2022/07/20,,02125,0900300011514,Ciudad de Mexico,Azcapotzalco,San Martin Xochinahuac,Distribucion_Colonia,19.4988067,-99.1921922
CEC-19-0296|MEX|ST_1|Cluster_NA|2019/09/13,,.,0900800010071,Ciudad de Mexico,Gustavo A. Madero,.,Distribucion_Municipio,,
